YawRotation,Timestamp
-4.375730,2024.10.22-21.08.54
-3.571225,2024.10.22-21.08.54
-2.717239,2024.10.22-21.08.54
-1.443133,2024.10.22-21.08.54
-0.301836,2024.10.22-21.08.54
0.921274,2024.10.22-21.08.54
2.191582,2024.10.22-21.08.54
3.051746,2024.10.22-21.08.54
3.683747,2024.10.22-21.08.54
4.420399,2024.10.22-21.08.54
4.860406,2024.10.22-21.08.54
5.019209,2024.10.22-21.08.54
5.131711,2024.10.22-21.08.54
5.032482,2024.10.22-21.08.54
5.896043,2024.10.22-21.08.54
8.128724,2024.10.22-21.08.54
10.702125,2024.10.22-21.08.54
13.131772,2024.10.22-21.08.54
15.410818,2024.10.22-21.08.54
17.296282,2024.10.22-21.08.54
19.533451,2024.10.22-21.08.54
22.017235,2024.10.22-21.08.54
24.448936,2024.10.22-21.08.54
26.977173,2024.10.22-21.08.54
29.142435,2024.10.22-21.08.54
31.046230,2024.10.22-21.08.54
33.450550,2024.10.22-21.08.54
36.415302,2024.10.22-21.08.54
38.871525,2024.10.22-21.08.54
41.156841,2024.10.22-21.08.54
43.771126,2024.10.22-21.08.54
46.910870,2024.10.22-21.08.54
50.206463,2024.10.22-21.08.54
53.286652,2024.10.22-21.08.54
56.087044,2024.10.22-21.08.54
59.683071,2024.10.22-21.08.54
63.817406,2024.10.22-21.08.55
67.850838,2024.10.22-21.08.55
70.880951,2024.10.22-21.08.55
73.834785,2024.10.22-21.08.55
77.545174,2024.10.22-21.08.55
81.987396,2024.10.22-21.08.55
86.730217,2024.10.22-21.08.55
91.324699,2024.10.22-21.08.55
95.907326,2024.10.22-21.08.55
100.620308,2024.10.22-21.08.55
105.448906,2024.10.22-21.08.55
109.921646,2024.10.22-21.08.55
113.929367,2024.10.22-21.08.55
117.623116,2024.10.22-21.08.55
120.606583,2024.10.22-21.08.55
123.125519,2024.10.22-21.08.55
124.939163,2024.10.22-21.08.55
126.123367,2024.10.22-21.08.55
127.214134,2024.10.22-21.08.55
128.217255,2024.10.22-21.08.55
129.166763,2024.10.22-21.08.55
130.131378,2024.10.22-21.08.55
131.234299,2024.10.22-21.08.55
132.455612,2024.10.22-21.08.55
133.787415,2024.10.22-21.08.55
135.300766,2024.10.22-21.08.55
137.062302,2024.10.22-21.08.55
138.871109,2024.10.22-21.08.55
141.062302,2024.10.22-21.08.55
143.655594,2024.10.22-21.08.55
146.452881,2024.10.22-21.08.55
149.405121,2024.10.22-21.08.55
152.703873,2024.10.22-21.08.55
156.304993,2024.10.22-21.08.55
160.254868,2024.10.22-21.08.55
163.737885,2024.10.22-21.08.55
167.248032,2024.10.22-21.08.55
170.795105,2024.10.22-21.08.55
173.809677,2024.10.22-21.08.55
175.385590,2024.10.22-21.08.55
175.809631,2024.10.22-21.08.55
175.333527,2024.10.22-21.08.55
176.224045,2024.10.22-21.08.55
177.183884,2024.10.22-21.08.55
179.450790,2024.10.22-21.08.55
-177.763229,2024.10.22-21.08.56
-174.420517,2024.10.22-21.08.56
-171.699432,2024.10.22-21.08.56
-168.063339,2024.10.22-21.08.56
-163.956345,2024.10.22-21.08.56
-160.411148,2024.10.22-21.08.56
-157.872940,2024.10.22-21.08.56
-155.132401,2024.10.22-21.08.56
-151.994141,2024.10.22-21.08.56
-149.023071,2024.10.22-21.08.56
-146.518753,2024.10.22-21.08.56
-144.099121,2024.10.22-21.08.56
-141.606598,2024.10.22-21.08.56
-139.263687,2024.10.22-21.08.56
-137.294647,2024.10.22-21.08.56
-136.119400,2024.10.22-21.08.56
-134.707199,2024.10.22-21.08.56
-133.610657,2024.10.22-21.08.56
-132.085236,2024.10.22-21.08.56
-130.326126,2024.10.22-21.08.56
-128.870636,2024.10.22-21.08.56
-126.837234,2024.10.22-21.08.56
-124.586441,2024.10.22-21.08.56
-121.769127,2024.10.22-21.08.56
-118.773651,2024.10.22-21.08.56
-114.538803,2024.10.22-21.08.56
-110.889252,2024.10.22-21.08.56
-106.559090,2024.10.22-21.08.56
-102.180092,2024.10.22-21.08.56
-97.767471,2024.10.22-21.08.56
-93.459793,2024.10.22-21.08.56
-88.174339,2024.10.22-21.08.56
-84.711235,2024.10.22-21.08.56
-81.012344,2024.10.22-21.08.56
-78.123535,2024.10.22-21.08.56
-75.190788,2024.10.22-21.08.56
-72.216415,2024.10.22-21.08.56
-70.152039,2024.10.22-21.08.56
-68.220581,2024.10.22-21.08.56
-66.169037,2024.10.22-21.08.56
-64.332199,2024.10.22-21.08.56
-62.727928,2024.10.22-21.08.56
-60.998871,2024.10.22-21.08.56
-58.703812,2024.10.22-21.08.56
-56.107777,2024.10.22-21.08.56
-53.750401,2024.10.22-21.08.57
-51.579300,2024.10.22-21.08.57
-49.286495,2024.10.22-21.08.57
-46.379150,2024.10.22-21.08.57
-43.809586,2024.10.22-21.08.57
-41.389896,2024.10.22-21.08.57
-38.824951,2024.10.22-21.08.57
-36.547935,2024.10.22-21.08.57
-34.152054,2024.10.22-21.08.57
-32.221561,2024.10.22-21.08.57
-30.680122,2024.10.22-21.08.57
-29.481428,2024.10.22-21.08.57
-28.529900,2024.10.22-21.08.57
-28.110556,2024.10.22-21.08.57
-27.897383,2024.10.22-21.08.57
-29.113914,2024.10.22-21.08.57
-30.171341,2024.10.22-21.08.57
-31.515194,2024.10.22-21.08.57
-32.013401,2024.10.22-21.08.57
-32.582920,2024.10.22-21.08.57
-32.948956,2024.10.22-21.08.57
-32.854084,2024.10.22-21.08.57
-32.696850,2024.10.22-21.08.57
-32.574791,2024.10.22-21.08.57
-32.515400,2024.10.22-21.08.57
-32.367149,2024.10.22-21.08.57
-32.561043,2024.10.22-21.08.57
-33.051723,2024.10.22-21.08.57
-33.361595,2024.10.22-21.08.57
-33.649952,2024.10.22-21.08.57
-34.076065,2024.10.22-21.08.57
-34.779369,2024.10.22-21.08.57
-35.765472,2024.10.22-21.08.57
-36.909039,2024.10.22-21.08.57
-38.219440,2024.10.22-21.08.57
-39.563770,2024.10.22-21.08.57
-40.929871,2024.10.22-21.08.57
-43.010551,2024.10.22-21.08.57
-45.717873,2024.10.22-21.08.57
-48.972763,2024.10.22-21.08.57
-52.793648,2024.10.22-21.08.57
