YawRotation,PitchRotation,RollRotation,ElapsedTimeSeconds
28.052839,-6.294879,-25.508451,10.835000
28.258932,-6.132881,-25.522964,10.856000
28.184635,-6.237349,-25.451820,10.878000
27.991287,-6.561598,-25.283009,10.901000
27.781910,-6.557555,-24.965130,10.924000
27.573936,-6.508780,-24.605019,10.946000
27.492725,-6.905745,-24.266010,10.968000
27.416208,-7.564427,-24.136406,10.990000
27.388758,-8.013451,-24.232109,11.011000
27.406775,-8.163790,-24.384501,11.033000
27.424284,-8.237064,-24.634153,11.057000
27.422073,-8.145123,-24.889744,11.079000
27.513313,-7.934931,-25.173485,11.101000
27.387791,-7.688982,-25.482586,11.124000
27.347687,-7.516486,-25.909203,11.145000
27.293196,-7.371249,-26.193609,11.167000
27.122677,-7.258025,-26.206421,11.189000
27.106716,-7.113819,-26.180882,11.213000
27.103321,-7.058037,-26.053152,11.235000
27.023987,-7.138312,-25.985489,11.256000
26.844994,-7.313118,-25.774696,11.279000
26.780283,-7.518761,-25.572296,11.301000
26.805578,-7.671347,-25.340240,11.322000
26.760923,-7.757633,-25.061155,11.343000
26.523008,-7.799796,-24.746502,11.367000
26.219019,-7.772653,-24.489616,11.389000
26.045469,-7.775582,-24.337042,11.411000
26.078560,-7.765085,-24.181004,11.433000
26.062933,-7.625045,-23.977997,11.454000
25.975878,-7.488394,-23.750654,11.478000
25.878878,-7.592417,-23.474054,11.500000
25.857929,-7.736801,-23.226212,11.523000
25.763000,-7.749990,-22.893000,11.543000
25.592312,-7.646123,-22.394026,11.567000
25.364298,-7.718086,-21.915735,11.589000
25.102003,-7.939118,-21.369331,11.611000
24.952505,-8.068502,-20.728340,11.633000
24.908165,-8.008765,-20.110985,11.655000
24.795593,-7.840353,-19.427938,11.679000
24.587614,-7.807309,-18.801699,11.699000
24.361116,-7.766389,-18.293896,11.721000
23.950405,-7.665623,-17.910175,11.745000
23.531971,-7.575144,-17.754923,11.766000
22.913681,-7.679065,-17.874384,11.789000
22.320303,-7.929651,-18.178099,11.811000
21.896189,-8.093500,-18.431961,11.833000
21.494961,-7.949370,-18.366009,11.855000
21.249870,-7.884149,-18.264242,11.878000
